avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv,gmv_range,live_gmv,nickname,selection_region,top_follower_demographics,username,video_gmv
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/d4b94b7d4db628fdf4ee0e429404ef82~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=44e2e468&x-expires=1784548800&x-signature=3HXCr%2B3YgebekCwwkJcNzu8bf3A%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2298,837,"['700645', '605248', '824584']",T6vv4AAAAACOV4AEeERJl-yievH_HBsszBVZAvrEJn_ffCAESWDl1w,57805,"{'amount': '21337.866442', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '6390.671352', 'currency': 'USD'}",thisismedane,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6781}}",thisismedane,"{'amount': '14909.198568', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/d465aad05afa584f977e108c1f1021d2~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=0e4004f6&x-expires=1784548800&x-signature=zhDnHq6AhJ22J4FzWWgZ1AhxM4U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1434,152,"['700645', '604453', '600154']",QxEZvAAAAACOV4AEeERJl-yievH_HBssOTqDiKPqEe7OGH2g21KFcA,16458,,{'formatted_range': '₱10K+'},,user at daily ➕patches here,PH,"{'age_ranges': ['AGE_RANGE_35_44', 'AGE_RANGE_45_54', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4796}}",lyza_gc,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c9bf0a061dba0f7c2a924e7b05a05b3a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=8a65b434&x-expires=1784548800&x-signature=LoSqh8l98f91PKp6fTpGpqeT%2Bz8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1552,1196,"['700645', '604968', '600001']",EHjrEAAAAACOV4AEeERJl-yievH_HBssPC2zQzc3XQCF-MwfqI_arA,174200,"{'amount': '28264.33403', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '844.279669', 'currency': 'USD'}",CEO/FOUNDER JAKE RECOS PH🇵🇭,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4579}}",jake_recosph,"{'amount': '27102.116548', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/5ff4d7b33c11e6da9674fb371a119706~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=07d70661&x-expires=1784548800&x-signature=j59Bn%2B3Bu0fKEo4e3nKrDppMCbI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,171,"['700645', '602284', '605248']",suzOpwAAAACOV4AEeERJl-yievH_HBssHYbTs1SqSSHdfR83j2xQJg,15116,,{'formatted_range': '₱10K+'},,ConyoTindero,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 7832}}",bewell_conyotindero,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/206b259496e90ae4414d9bb937e83b77~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=b1279428&x-expires=1784548800&x-signature=J8ZK9kFu2RbLEm1aniB%2B8xM0pOA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},3199,1044,"['700645', '601739', '824584']",F2e9FwAAAACOV4AEeERJl-yievH_HBss-AFYwZVPmdgiVNAnXqN6-Q,19661,,{'formatted_range': '₱10K+'},,yssaa.finds,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3635}}",yssaa.finds,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/e9f61729dd3aadb29889e1f873c351b5~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a9eaaafb&x-expires=1784548800&x-signature=J7xvlLCCcm2UawUOYgpASJDCVm4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,0,"['700645', '824328', '604579']",wI7GkQAAAACOV4AEeERJl-yievH_HBss_LgAkWy8UVKxswFJMz2E8g,46532,,{'formatted_range': '₱10K+'},,RML,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 7314}}",rml_mrtnz,
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/964ed7893a86450684be9fb091ce50d5~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=44d237ca&x-expires=1784548800&x-signature=OqQhmZlD1A4URg3FBV%2BbNZfbkCQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2691,1291,"['700645', '601450', '600001']",sHCXVwAAAACOV4AEeERJl-yievH_HBssB8rh-liErZAc1DSU_Ck9VA,8731,"{'amount': '14744.380424', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '14627.118928', 'currency': 'USD'}",SHAA,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5211}}",itsmesharlotte27,"{'amount': '78.529187', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/d22ff5167db4f516f753547fb3f5414c~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=efcb2e5b&x-expires=1784548800&x-signature=DX%2FSM%2F2QQOCDE5%2BxQpM5WLKKzTA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,0,"['700645', '602284', '951432']",prR3NwAAAACOV4AEeERJl-yievH_HBssySj2bymxUaBT9o7kJ94QNg,8137,,{'formatted_range': '₱10K+'},,DocTalkDaily,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3932}}",kai118283,
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/6f09495ab5df906e5b3ebd4e6e829b19~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=78f06f68&x-expires=1784548800&x-signature=dMb2IS8NVi4tu%2BXjJ%2FXSJf5Lfso%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},916,2918,"['700645', '601450', '600154']",D7CtjAAAAACOV4AEeERJl-yievH_HBsstyv2IUv4lwUtmeq7peIXvQ,18138,"{'amount': '33723.629594', 'currency': 'USD'}","{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}","{'amount': '6745.230235', 'currency': 'USD'}",ProsperityPh,PH,"{'age_ranges': ['AGE_RANGE_55_AND_ABOVE', 'AGE_RANGE_45_54', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3420}}",prosperityph,"{'amount': '26946.722459', 'currency': 'USD'}"
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/0d847520acc7cd6a9d011aa901e2e229~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=860bf9c8&x-expires=1784548800&x-signature=LZrbwBJtKKkC2VbwOPSVgZZcjg0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,3468,"['700645', '824328', '600154']",4KOIMwAAAACOV4AEeERJl-yievH_HBss9zhhdWnbxBnhTP210oxNFA,56352,,{'formatted_range': '₱10K+'},,itsyoboyluke,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5739}}",lukebernaless,
